Elmo txt chart ver 2.0

[File Properties]
Creation Time,2022-01-14 09:36:48
Last Updated,2022-01-14 09:36:48
Resolution,0.0002
Sampling Time,5E-05
Recording Time,0

[Chart Properties]
No.,Name,X Linear,Dimension
1,Chart #1,True,1D
2,Chart #2,True,1D
3,Chart #3,True,1D

[Chart Data]
Display No.,X No.,Y No.,Z No.,X Unit,Y Unit,Color,Style,Width,Hex Display,X Hex Display,Z Hex Display,Zero Scale
1,1,2,0,sec,N/A,ff0000ff,Solid,TwoPoint,False,False,False,False
1,1,3,0,sec,N/A,ff007f00,Solid,TwoPoint,False,False,False,False
1,1,4,0,sec,N/A,ffff0000,Solid,TwoPoint,False,False,False,False
2,1,5,0,sec,N/A,ff0000ff,Solid,TwoPoint,False,False,False,False
3,1,6,0,sec,N/A,ff0000ff,Solid,TwoPoint,False,False,False,False

[Signal Names]
1,Time (sec)
2,Current - Phase A
3,Current - Phase B
4,Current - Phase C
5,Active Current [A]
6,Hall Sensor

[Signals Data Group 1]
1,2,3,4,5,6,
0,-0.961418226938981,0.42302401765264,0.538394209286341,0.965138742218841,2,
0.0002,-0.192283661891635,-0.884504784187445,1.07678841857268,0.435566109565677,2,
0.0004,0.115370177880503,-1.15370191633701,1.03833172470331,0.316465206947569,2,
0.0006,0.0769134565047347,-1.19215861020638,1.11524522246764,0.513647785679794,2,
0.0008,0.461480766534805,-1.15370191633701,0.692221149802208,0.192062427939277,2,
0.001,0.769134592553744,-0.961418226938981,0.192283648138436,-0.174390007866343,2,
0.0012,1.07678841857268,-0.653764400920043,-0.423024045159037,-0.658655130023078,2,
0.0014,0.807591341435909,-0.461480766534805,-0.346110574901104,-0.437274770282059,2,
0.0016,0.807591341435909,-0.115370191633701,-0.692221149802208,-0.701149579619553,2,
0.0018,0.692221149802208,-1.3753198579991E-08,-0.692221149802208,-0.698694615335427,2,
0.002,0.269197104643171,0.730677898684373,-0.999875030833941,-0.993677179400265,2,
0.0022,-0.423024045159037,1.07678841857268,-0.653764400920043,-0.709786221575825,6,
0.0024,-1.07678841857268,0.884504784187445,0.192283648138436,0.0164543634562975,6,
0.0026,-1.19215872023197,0.999874920808352,0.192283634385237,-0.113929012292102,6,
0.0028,-1.11524522246764,0.615307707050672,0.499937515416971,0.152912499511082,6,
0.003,-1.23061541410134,0.269197104643171,0.961418226938981,0.532238626016301,6,
0.0032,-1.34598560573505,0.499937460404176,0.84604803530528,0.232403438377293,6,
0.0034,-0.846048090318074,-0.269197132149568,1.11524522246764,0.74391036449093,6,
0.0036,-1.26907210797071,0.115370177880503,1.15370191633701,0.388387760635212,6,
0.0038,-0.576850958168507,-0.692221149802208,1.26907210797071,0.955320645491753,6,
0.004,-0.384567323783269,-0.615307707050672,0.999874920808352,0.754314750904683,6,
0.0042,-0.230740383267403,-1.03833172470331,1.26907210797071,1.0423657762356,4,
0.0044,0.0769134427515361,-0.846048090318074,0.769134592553744,0.805004126394238,4,
0.0046,0.461480766534805,-0.576850958168507,0.115370177880503,0.604042095341839,4,
0.0048,0.42302401765264,0.0769134565047347,-0.499937515416971,0.0845278919765491,4,
0.005,0.461480766534805,-1.3753198579991E-08,-0.461480766534805,0.207182181005372,4,
0.0052,0.615307652037878,-0.423024045159037,-0.192283661891635,0.594800239297655,4,
0.0054,0.576850958168507,-0.461480766534805,-0.1153702053869,0.60793179330183,4,
0.0056,0.576850958168507,-0.692221149802208,0.115370177880503,0.701118772454734,4,
0.0058,0.538394209286341,-0.615307707050672,0.0769134565047347,0.620369085841688,4,
0.006,0.84604803530528,-0.999875030833941,0.153826913009469,0.929759280687747,4,
0.0062,0.692221149802208,-0.692221149802208,-1.3753198579991E-08,0.693854076238409,5,
0.0064,0.615307652037878,0.269197104643171,-0.88450483920024,0.678922797005654,5,
0.0066,0.42302401765264,0.42302401765264,-0.846048090318074,0.56621870876068,5,
0.0068,0.384567296276872,0.615307652037878,-0.999875030833941,0.657842040923029,5,
0.007,0.153826913009469,0.730677843671579,-0.88450483920024,0.517964309573316,5,
0.0072,0.0769134565047347,0.307653826018939,-0.384567323783269,0.267372101035601,5,
0.0074,0.346110574901104,-1.3753198579991E-08,-0.346110574901104,0.397409125399761,5,
0.0076,0.230740383267403,0.692221149802208,-0.922961533069611,0.796132689831808,5,
0.0078,0.115370177880503,0.115370177880503,-0.230740383267403,0.225946201618399,5,
0.008,0.115370177880503,0.115370177880503,-0.230740383267403,0.229576129163611,5,
0.0082,0.230740369514204,-0.230740383267403,-1.3753198579991E-08,-0.00163674065660757,1,
0.0084,0.230740369514204,-0.230740383267403,-1.3753198579991E-08,-0.0277744515847056,1,
0.0086,-0.423024045159037,0.846048090318074,-0.423024045159037,0.561061626045145,1,
0.0088,0.153826913009469,0.153826913009469,-0.307653853525336,0.293129256374591,1,
0.009,0.269197104643171,0.269197104643171,-0.538394264299136,0.494690156705957,1,
0.0092,-0.0384567488821652,0.42302401765264,-0.384567323783269,0.464071905822472,1,
0.0094,0.538394209286341,0.0769134427515361,-0.615307707050672,0.357926406241127,1,
0.0096,0.653764400920043,0.307653826018939,-0.961418226938981,0.608168568368583,1,
0.0098,0.730677843671579,0.384567296276872,-1.11524522246764,0.637231460855858,1,
0.01,0.42302401765264,0.192283648138436,-0.615307707050672,0.281385693508707,1,
0.0102,-0.0384567351289666,0.884504784187445,-0.846048090318074,0.907667976248661,1,
0.0104,-0.384567323783269,0.769134592553744,-0.384567323783269,0.76764281061017,3,
0.0106,-0.461480766534805,0.922961533069611,-0.461480766534805,0.913225515431648,3,
